variant_id,node,degree,closeness,betweenness,flow_count,delta_asp
156,LonRouter,0.8,0.14786363871356126,1.0,7.0,1.1281413367151725
156,CenRouter,1.0,0.1623213279081505,3.0,11.0,1.2166174017488411
156,DnsRouter,0.6,0.14070445137762566,1.0,7.0,1.0224486724423034
156,ManL3Switch,0.4,0.11797481537203375,0.0,5.0,0.9203588499513865
156,LonL3Switch,0.4,0.1136065711826456,0.0,5.0,0.8980712827862851
157,ManRouter,0.8,0.14889104300171965,2.0,9.0,1.205267972659491
157,LonRouter,0.8,0.13576416051413226,1.0,7.0,1.1038428507158418
157,CenRouter,1.0,0.1542860154395386,3.0,11.0,1.1919960842940915
157,DnsRouter,0.6,0.12583625091972866,0.0,5.0,0.9978881951512824
157,ManL3Switch,0.4,0.1129312219198491,0.0,5.0,0.9405101973522905
157,LonL3Switch,0.4,0.0988612352737835,0.0,5.0,0.8608832937427754
158,ManRouter,0.8,0.12881841999142568,2.0,9.0,1.1381710920269619
158,LonRouter,0.8,0.13520708885324426,1.0,7.0,1.1388474342686248
158,CenRouter,1.0,0.14471981361774558,3.0,11.0,1.2194455158354724
158,DnsRouter,0.6,0.12552964467546576,1.0,7.0,1.027663022783869
158,ManL3Switch,0.4,0.1038622366579764,0.0,5.0,0.9173261465288377
158,LonL3Switch,0.4,0.10091867226347583,0.0,5.0,0.9003308970847476
159,ManRouter,0.8,0.15021406118818914,2.0,9.0,1.2072493883404207
159,LonRouter,0.8,0.13217421865392262,1.0,7.0,1.0754510226286633
159,CenRouter,1.0,0.1510487784176197,3.0,11.0,1.193967840803012
159,DnsRouter,0.6,0.13613360761318483,1.0,7.0,1.0501703814424694
159,ManL3Switch,0.4,0.10483218875340901,0.0,5.0,0.8891511548995065
159,LonL3Switch,0.4,0.10964795469630755,0.0,5.0,0.9159797908977018
160,ManRouter,0.8,0.14864962709712878,2.0,9.0,1.1581043846987151
160,LonRouter,0.8,0.14336825050667062,1.0,7.0,1.1207028201255531
160,CenRouter,1.0,0.1605120892081212,4.0,13.0,1.3234332249824103
160,DnsRouter,0.6,0.12543108904052655,0.0,5.0,0.9872160441451818
160,ManL3Switch,0.4,0.10477620097985388,0.0,5.0,0.8861292027781553
160,LonL3Switch,0.4,0.10877263356341221,0.0,5.0,0.9086835271127048
161,ManRouter,0.8,0.1425118677067034,1.0,7.0,1.1286501283960881
161,LonRouter,0.8,0.13851980239129225,2.0,9.0,1.1361583192168692
161,CenRouter,1.0,0.1569181966162292,4.0,13.0,1.2650819415395007
161,DnsRouter,0.6,0.1270235232563936,0.0,5.0,0.9963039720818727
161,ManL3Switch,0.4,0.10358944490318878,0.0,5.0,0.88235749620817
161,LonL3Switch,0.4,0.1142361112328536,0.0,5.0,0.9399210247450133
162,ManRouter,0.8,0.1393480886377785,2.0,9.0,1.1587374273663376
162,LonRouter,0.8,0.1363440756304807,1.0,7.0,1.1601598082494455
162,CenRouter,1.0,0.14436456667140668,3.0,11.0,1.1400243859305896
162,DnsRouter,0.6,0.13413222866777044,1.0,7.0,1.0425300120302166
162,ManL3Switch,0.4,0.09803047270875298,0.0,5.0,0.8726410795723613
162,LonL3Switch,0.4,0.10323698926010125,0.0,5.0,0.904280462183695
163,ManRouter,0.8,0.13348907077957667,1.0,7.0,1.1191370290678397
163,LonRouter,0.8,0.1454759579936892,2.0,9.0,1.1851766197960272
163,CenRouter,1.0,0.14636018443458942,3.0,11.0,1.166655601277701
163,DnsRouter,0.6,0.134679986080903,1.0,7.0,1.0511739703950542
163,ManL3Switch,0.4,0.10122466399960608,0.0,5.0,0.8953184171874817
163,LonL3Switch,0.4,0.09513908225160682,0.0,5.0,0.8566398939494356
164,ManRouter,0.8,0.13525393850442832,2.0,9.0,1.1237586105090969
164,LonRouter,0.8,0.1431669613103534,1.0,7.0,1.1672710931011514
164,CenRouter,1.0,0.14398019962705558,3.0,11.0,1.152287400974344
164,DnsRouter,0.6,0.1346230062590465,1.0,7.0,1.0620609343779903
164,ManL3Switch,0.4,0.11055694624379794,0.0,5.0,0.9364880728756048
164,LonL3Switch,0.4,0.0965534601005476,0.0,5.0,0.854759966448086
165,ManRouter,0.8,0.13845995077735276,1.0,7.0,1.0801231121457056
165,LonRouter,0.8,0.15126299101473722,2.0,9.0,1.1544123667140058
165,CenRouter,1.0,0.16505419725111906,3.0,11.0,1.307421260470548
165,DnsRouter,0.6,0.13178665102271128,1.0,7.0,1.0043392540752152
